time_index,time_days,square_id,PRo
0,0.0,1,0.0
0,0.0,2,0.0
0,0.0,3,0.0
0,0.0,4,0.0
0,0.0,5,0.0
0,0.0,6,0.0
0,0.0,7,0.0
0,0.0,8,0.0
0,0.0,9,0.0
0,0.0,10,0.0
0,0.0,11,0.0
0,0.0,12,0.0
0,0.0,13,0.0
0,0.0,14,0.0
0,0.0,15,0.0
0,0.0,16,0.0
1,0.5,1,0.0
1,0.5,2,0.0
1,0.5,3,0.0
1,0.5,4,0.0
1,0.5,5,0.0
1,0.5,6,0.0
1,0.5,7,0.0
1,0.5,8,0.0
1,0.5,9,0.0
1,0.5,10,0.0
1,0.5,11,0.0
1,0.5,12,0.0
1,0.5,13,0.0
1,0.5,14,0.0
1,0.5,15,0.0
1,0.5,16,0.0
2,1.0,1,0.0
2,1.0,2,0.0
2,1.0,3,0.0
2,1.0,4,0.0
2,1.0,5,0.0
2,1.0,6,0.0
2,1.0,7,0.0
2,1.0,8,0.0
2,1.0,9,0.0
2,1.0,10,0.0
2,1.0,11,0.0
2,1.0,12,0.0
2,1.0,13,0.0
2,1.0,14,0.0
2,1.0,15,0.0
2,1.0,16,0.0
3,1.5,1,0.0
3,1.5,2,0.0
3,1.5,3,0.0
3,1.5,4,0.0
3,1.5,5,0.0
3,1.5,6,0.0
3,1.5,7,0.0
3,1.5,8,0.0
3,1.5,9,0.0
3,1.5,10,0.0
3,1.5,11,0.0
3,1.5,12,0.0
3,1.5,13,0.0
3,1.5,14,0.0
3,1.5,15,0.0
3,1.5,16,0.0
4,2.0,1,0.0
4,2.0,2,0.0
4,2.0,3,0.0
4,2.0,4,0.0
4,2.0,5,0.0
4,2.0,6,0.0
4,2.0,7,0.0
4,2.0,8,0.0
4,2.0,9,0.0
4,2.0,10,0.0
4,2.0,11,0.0
4,2.0,12,0.0
4,2.0,13,0.0
4,2.0,14,0.0
4,2.0,15,0.0
4,2.0,16,0.0
5,2.5,1,0.0
5,2.5,2,0.0
5,2.5,3,0.0
5,2.5,4,0.0
5,2.5,5,0.0
5,2.5,6,0.0
5,2.5,7,0.0
5,2.5,8,0.0
5,2.5,9,0.0
5,2.5,10,0.0
5,2.5,11,0.0
5,2.5,12,0.0
5,2.5,13,0.0
5,2.5,14,0.0
5,2.5,15,0.0
5,2.5,16,0.0
6,3.0,1,0.0
6,3.0,2,0.0
6,3.0,3,0.0
6,3.0,4,0.0
6,3.0,5,0.0
6,3.0,6,0.0003662109375
6,3.0,7,0.0
6,3.0,8,0.0
6,3.0,9,0.0
6,3.0,10,0.0
6,3.0,11,0.0
6,3.0,12,0.0
6,3.0,13,0.0
6,3.0,14,0.0
6,3.0,15,0.0
6,3.0,16,0.0
7,3.5,1,0.0
7,3.5,2,0.0
7,3.5,3,0.0
7,3.5,4,0.0
7,3.5,5,0.0
7,3.5,6,0.00274658203125
7,3.5,7,0.0
7,3.5,8,0.0
7,3.5,9,0.0
7,3.5,10,0.0
7,3.5,11,0.0
7,3.5,12,0.0
7,3.5,13,0.0
7,3.5,14,0.0
7,3.5,15,0.0
7,3.5,16,0.0
8,4.0,1,0.0
8,4.0,2,0.0
8,4.0,3,0.0
8,4.0,4,0.0
8,4.0,5,0.0
8,4.0,6,0.0
8,4.0,7,0.0
8,4.0,8,0.0
8,4.0,9,0.0
8,4.0,10,0.0
8,4.0,11,0.0
8,4.0,12,0.0
8,4.0,13,0.0
8,4.0,14,0.0
8,4.0,15,0.0
8,4.0,16,0.0
9,4.5,1,0.0
9,4.5,2,0.0
9,4.5,3,0.0
9,4.5,4,0.0
9,4.5,5,0.0
9,4.5,6,0.00213623046875
9,4.5,7,0.0
9,4.5,8,0.0
9,4.5,9,0.0
9,4.5,10,0.0
9,4.5,11,0.0
9,4.5,12,0.0
9,4.5,13,0.0
9,4.5,14,0.0047607421875
9,4.5,15,0.006591796875
9,4.5,16,0.0
10,5.0,1,0.0
10,5.0,2,0.0
10,5.0,3,0.0001220703125
10,5.0,4,0.0
10,5.0,5,0.00262451171875
10,5.0,6,0.0
10,5.0,7,0.0
10,5.0,8,0.0
10,5.0,9,0.0
10,5.0,10,0.0
10,5.0,11,0.0
10,5.0,12,0.0
10,5.0,13,0.0
10,5.0,14,0.0
10,5.0,15,0.0
10,5.0,16,0.0
11,5.5,1,0.0
11,5.5,2,0.0
11,5.5,3,0.000244140625
11,5.5,4,0.0
11,5.5,5,0.01324462890625
11,5.5,6,0.0
11,5.5,7,0.0
11,5.5,8,0.0
11,5.5,9,0.0
11,5.5,10,0.00421142578125
11,5.5,11,0.0
11,5.5,12,0.0
11,5.5,13,0.0
11,5.5,14,0.001220703125
11,5.5,15,0.00079345703125
11,5.5,16,0.0
12,6.0,1,0.0
12,6.0,2,0.0
12,6.0,3,6.103515625e-05
12,6.0,4,0.0
12,6.0,5,0.02001953125
12,6.0,6,0.0
12,6.0,7,0.0
12,6.0,8,0.00018310546875
12,6.0,9,0.0
12,6.0,10,0.0
12,6.0,11,0.0
12,6.0,12,0.0
12,6.0,13,0.0
12,6.0,14,0.00872802734375
12,6.0,15,0.00640869140625
12,6.0,16,0.0
13,6.5,1,0.0
13,6.5,2,0.0
13,6.5,3,0.0
13,6.5,4,0.0
13,6.5,5,0.01123046875
13,6.5,6,0.0
13,6.5,7,0.0
13,6.5,8,0.0
13,6.5,9,0.00372314453125
13,6.5,10,0.0
13,6.5,11,0.0
13,6.5,12,0.00042724609375
13,6.5,13,0.0
13,6.5,14,0.0023193359375
13,6.5,15,0.00152587890625
13,6.5,16,0.000244140625
14,7.0,1,0.00054931640625
14,7.0,2,0.0
14,7.0,3,0.0
14,7.0,4,0.0
14,7.0,5,0.03564453125
14,7.0,6,0.0
14,7.0,7,0.0
14,7.0,8,0.00274658203125
14,7.0,9,0.0
14,7.0,10,0.0
14,7.0,11,0.0
14,7.0,12,0.0
14,7.0,13,0.0
14,7.0,14,0.00433349609375
14,7.0,15,0.00067138671875
14,7.0,16,0.0
15,7.5,1,0.0
15,7.5,2,0.0
15,7.5,3,0.0
15,7.5,4,0.0
15,7.5,5,0.02154541015625
15,7.5,6,0.0
15,7.5,7,0.0
15,7.5,8,0.00048828125
15,7.5,9,0.0
15,7.5,10,0.0
15,7.5,11,0.0
15,7.5,12,0.0
15,7.5,13,0.0
15,7.5,14,0.00042724609375
15,7.5,15,0.0
15,7.5,16,0.0
16,8.0,1,0.0
16,8.0,2,0.0
16,8.0,3,0.0
16,8.0,4,0.0
16,8.0,5,0.020751953125
16,8.0,6,0.0
16,8.0,7,0.0
16,8.0,8,0.00445556640625
16,8.0,9,0.0
16,8.0,10,0.0
16,8.0,11,0.0
16,8.0,12,0.0
16,8.0,13,0.0010986328125
16,8.0,14,0.0001220703125
16,8.0,15,0.00018310546875
16,8.0,16,0.0
17,8.5,1,0.0
17,8.5,2,0.00091552734375
17,8.5,3,0.0
17,8.5,4,0.0
17,8.5,5,0.0191650390625
17,8.5,6,0.00152587890625
17,8.5,7,0.0
17,8.5,8,0.00390625
17,8.5,9,0.0
17,8.5,10,0.0
17,8.5,11,0.0
17,8.5,12,0.0
17,8.5,13,0.00885009765625
17,8.5,14,6.103515625e-05
17,8.5,15,6.103515625e-05
17,8.5,16,0.0
18,9.0,1,0.0
18,9.0,2,6.103515625e-05
18,9.0,3,0.0
18,9.0,4,0.0
18,9.0,5,0.01318359375
18,9.0,6,0.00030517578125
18,9.0,7,0.0
18,9.0,8,0.0032958984375
18,9.0,9,0.001953125
18,9.0,10,0.0
18,9.0,11,0.0
18,9.0,12,0.0
18,9.0,13,0.009033203125
18,9.0,14,0.0003662109375
18,9.0,15,0.0
18,9.0,16,0.0
19,9.5,1,0.0
19,9.5,2,0.0
19,9.5,3,0.0
19,9.5,4,0.0
19,9.5,5,0.0218505859375
19,9.5,6,0.0
19,9.5,7,0.0
19,9.5,8,0.009765625
19,9.5,9,0.0096435546875
19,9.5,10,0.0
19,9.5,11,0.0
19,9.5,12,0.0
19,9.5,13,0.02008056640625
19,9.5,14,0.0
19,9.5,15,0.0
19,9.5,16,0.0
20,10.0,1,0.0029296875
20,10.0,2,0.0
20,10.0,3,0.0
20,10.0,4,0.0
20,10.0,5,0.00457763671875
